timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-12-09,4160.55000000,4179.00000000,3222.00000000,3545.37000000,4160.55000000,4179.00000000,3222.00000000,3545.37000000,406435.81785400,406435.81785400
2018-12-02,4088.69000000,4450.38000000,3689.12000000,4161.01000000,4088.69000000,4450.38000000,3689.12000000,4161.01000000,479458.79915100,479458.79915100
2018-11-25,5661.94000000,5664.00000000,3652.66000000,4085.78000000,5661.94000000,5664.00000000,3652.66000000,4085.78000000,496323.79998000,496323.79998000
2018-11-18,6450.71000000,6498.00000000,5403.42000000,5662.00000000,6450.71000000,6498.00000000,5403.42000000,5662.00000000,205081.18393800,205081.18393800
2018-11-11,6485.85000000,6615.15000000,6355.00000000,6449.81000000,6485.85000000,6615.15000000,6355.00000000,6449.81000000,76161.78188000,76161.78188000
2018-11-04,6489.93000000,6525.00000000,6245.02000000,6485.85000000,6489.93000000,6525.00000000,6245.02000000,6485.85000000,71945.40060700,71945.40060700
2018-10-28,6590.12000000,6639.00000000,6453.00000000,6489.93000000,6590.12000000,6639.00000000,6453.00000000,6489.93000000,75328.88538500,75328.88538500
2018-10-21,6339.34000000,7680.00000000,6300.00000000,6590.11000000,6339.34000000,7680.00000000,6300.00000000,6590.11000000,211592.62313900,211592.62313900
2018-10-14,6615.26000000,6715.60000000,6205.00000000,6339.34000000,6615.26000000,6715.60000000,6205.00000000,6339.34000000,166310.81354400,166310.81354400
2018-10-07,6626.57000000,6697.00000000,6430.00000000,6615.26000000,6626.57000000,6697.00000000,6430.00000000,6615.26000000,141836.47648300,141836.47648300
2018-09-30,6706.81000000,6814.80000000,6325.02000000,6626.57000000,6706.81000000,6814.80000000,6325.02000000,6626.57000000,242598.87247100,242598.87247100
2018-09-23,6500.08000000,6839.03000000,6123.00000000,6708.00000000,6500.08000000,6839.03000000,6123.00000000,6708.00000000,244256.49012100,244256.49012100
2018-09-16,6252.26000000,6584.99000000,6169.68000000,6505.00000000,6252.26000000,6584.99000000,6169.68000000,6505.00000000,227428.18285400,227428.18285400
2018-09-09,7302.00000000,7410.00000000,6111.00000000,6250.81000000,7302.00000000,7410.00000000,6111.00000000,6250.81000000,306231.62342400,306231.62342400
2018-09-02,6700.00000000,7345.45000000,6646.50000000,7302.01000000,6700.00000000,7345.45000000,6646.50000000,7302.01000000,294674.91300500,294674.91300500
2018-08-26,6477.53000000,6882.54000000,6220.00000000,6700.00000000,6477.53000000,6882.54000000,6220.00000000,6700.00000000,286906.53931100,286906.53931100
2018-08-19,6308.56000000,6620.00000000,5880.00000000,6477.53000000,6308.56000000,6620.00000000,5880.00000000,6477.53000000,378189.29648700,378189.29648700
2018-08-12,7024.19000000,7160.00000000,5971.00000000,6308.33000000,7024.19000000,7160.00000000,5971.00000000,6308.33000000,334426.55074300,334426.55074300
2018-08-05,8210.99000000,8273.00000000,6882.29000000,7024.19000000,8210.99000000,8273.00000000,6882.29000000,7024.19000000,282090.10358400,282090.10358400
2018-07-29,7394.78000000,8491.77000000,7375.00000000,8211.00000000,7394.78000000,8491.77000000,7375.00000000,8211.00000000,288666.04714100,288666.04714100
2018-07-22,6354.15000000,7700.00000000,6330.40000000,7394.79000000,6354.15000000,7700.00000000,6330.40000000,7394.79000000,294313.22260400,294313.22260400
2018-07-15,6712.10000000,6802.06000000,6070.00000000,6353.01000000,6712.10000000,6802.06000000,6070.00000000,6353.01000000,192452.84988000,192452.84988000
2018-07-08,6360.82000000,6818.16000000,6271.62000000,6712.10000000,6360.82000000,6818.16000000,6271.62000000,6712.10000000,211526.01905800,211526.01905800
2018-07-01,6137.95000000,6528.99000000,5780.00000000,6356.81000000,6137.95000000,6528.99000000,5780.00000000,6356.81000000,207746.55900600,207746.55900600
2018-06-24,6444.06000000,6841.74000000,5750.00000000,6136.97000000,6444.06000000,6841.74000000,5750.00000000,6136.97000000,234147.62101500,234147.62101500
2018-06-17,6765.00000000,6922.00000000,6118.68000000,6449.61000000,6765.00000000,6922.00000000,6118.68000000,6449.61000000,234080.84117100,234080.84117100
2018-06-10,7714.26000000,7765.00000000,6622.81000000,6764.99000000,7714.26000000,7765.00000000,6622.81000000,6764.99000000,211352.73747800,211352.73747800
2018-06-03,7338.99000000,7786.69000000,7032.95000000,7714.26000000,7338.99000000,7786.69000000,7032.95000000,7714.26000000,211929.27076600,211929.27076600
2018-05-27,8526.97000000,8595.31000000,7231.11000000,7338.99000000,8526.97000000,8595.31000000,7231.11000000,7338.99000000,190894.60093900,190894.60093900
2018-05-20,8679.71000000,8879.99000000,7911.90000000,8526.98000000,8679.71000000,8879.99000000,7911.90000000,8526.98000000,182713.82601200,182713.82601200
2018-05-13,9661.02000000,9689.67000000,8153.00000000,8679.71000000,9661.02000000,9689.67000000,8153.00000000,8679.71000000,224151.29875100,224151.29875100
2018-05-06,9417.04000000,10020.00000000,8800.49000000,9659.01000000,9417.04000000,10020.00000000,8800.49000000,9659.01000000,222274.38854000,222274.38854000
2018-04-29,8785.70000000,9759.82000000,8651.62000000,9419.00000000,8785.70000000,9759.82000000,8651.62000000,9419.00000000,306668.07214000,306668.07214000
2018-04-22,8355.07000000,9035.00000000,7825.40000000,8787.02000000,8355.07000000,9035.00000000,7825.40000000,8787.02000000,233025.38619000,233025.38619000
2018-04-15,7011.04000000,8429.54000000,6611.00000000,8355.00000000,7011.04000000,8429.54000000,6611.00000000,8355.00000000,259877.02241400,259877.02241400
2018-04-08,6813.01000000,7520.00000000,6500.00000000,7018.00000000,6813.01000000,7520.00000000,6500.00000000,7018.00000000,232320.07049900,232320.07049900
2018-04-01,8470.14000000,8514.89000000,6430.00000000,6813.01000000,8470.14000000,8514.89000000,6430.00000000,6813.01000000,308729.49203100,308729.49203100
2018-03-25,8189.00000000,9177.01000000,8088.40000000,8470.15000000,8189.00000000,9177.01000000,8088.40000000,8470.15000000,285211.53951100,285211.53951100
2018-03-18,9533.57000000,9888.88000000,7322.00000000,8189.99000000,9533.57000000,9888.88000000,7322.00000000,8189.99000000,315835.15160600,315835.15160600
2018-03-11,11515.00000000,11710.00000000,8329.00000000,9533.57000000,11515.00000000,11710.00000000,8329.00000000,9533.57000000,282035.22538200,282035.22538200
2018-03-04,9590.00000000,11565.00000000,9350.00000000,11515.00000000,9590.00000000,11565.00000000,9350.00000000,11515.00000000,183970.99761400,183970.99761400
2018-02-25,10375.01000000,11786.01000000,9274.80000000,9590.00000000,10375.01000000,11786.01000000,9274.80000000,9590.00000000,350623.13291100,350623.13291100
2018-02-18,8063.82000000,11274.00000000,8053.00000000,10383.43000000,8063.82000000,11274.00000000,8053.00000000,10383.43000000,311863.06813700,311863.06813700
2018-02-11,8179.99000000,9065.78000000,6000.01000000,8063.88000000,8179.99000000,9065.78000000,6000.01000000,8063.88000000,340794.29213100,340794.29213100
2018-02-04,11879.95000000,11975.02000000,7930.00000000,8184.81000000,11879.95000000,11975.02000000,7930.00000000,8184.81000000,202016.40775900,202016.40775900
2018-01-28,11530.00000000,12244.00000000,9900.24000000,11879.95000000,11530.00000000,12244.00000000,9900.24000000,11879.95000000,198030.05111700,198030.05111700
2018-01-21,13477.98000000,14249.99000000,9035.00000000,11530.00000000,13477.98000000,14249.99000000,9035.00000000,11530.00000000,303127.50213700,303127.50213700
2018-01-14,16218.85000000,16322.30000000,11400.00000000,13474.99000000,16218.85000000,16322.30000000,11400.00000000,13474.99000000,137537.90456500,137537.90456500
2018-01-07,13715.65000000,17176.24000000,12750.00000000,16150.03000000,13715.65000000,17176.24000000,12750.00000000,16150.03000000,120239.39935900,120239.39935900
2017-12-31,13500.00000000,16498.05000000,11750.00000000,13716.36000000,13500.00000000,16498.05000000,11750.00000000,13716.36000000,116522.75432100,116522.75432100
2017-12-24,18860.04000000,19300.00000000,10961.00000000,13500.00000000,18860.04000000,19300.00000000,10961.00000000,13500.00000000,135385.44032200,135385.44032200
2017-12-17,14946.26000000,19798.68000000,14666.56000000,18860.02000000,14946.26000000,19798.68000000,14666.56000000,18860.02000000,67851.48621500,67851.48621500
2017-12-10,11165.41000000,17204.99000000,10802.00000000,14899.98000000,11165.41000000,17204.99000000,10802.00000000,14899.98000000,72469.97762700,72469.97762700
